id,name,slug,level,parent_category_id,wordpress_category_id,wordpress_site_domain,description
65a354e4-b0bc-43cb-ab24-26d732bf05e7,The AI-Enhanced Human,the-ai-enhanced-human,2,fe496d03-34ba-437d-993d-6c2a9e7af89e,117,wellroost.com,Using LLMs and agents for research and personal admin. Identifying which cognitive tasks to delegate to machine intelligence and which to retain for human oversight.
6e07e102-e319-4709-aa6d-e48dcb775271,Consumer Intelligence,consumer-intelligence,2,149cd96a-e8f3-4312-bfb2-a5e3296bad67,109,wellroost.com,Analysis of products/services worth the investment (and which aren't). Decoding market behavior to decide which products or services actually deliver on their value proposition.
4f98bc2f-8c9d-417d-9154-072858fdd86c,"Decision Engineering ",decision-engineering,1,null,103,wellroost.com,"Refining ""Frameworks"" into a proactive discipline. The discipline of refining the process of choice itself."
8c8a650c-cb7d-4c19-8c25-e72a08d07405,Case Studies,case-studies,2,eaa88342-c05d-4c2c-9050-50089402a35f,108,wellroost.com,Forensic breakdowns of real-world wins and failures. Analyzing past wins and failures to identify repeatable patterns for your own strategy.
5fdc1b68-b943-42d9-bcc6-9b1a82561fa4,Acquisition Strategy,acquisition-strategy,2,7d0063a1-148a-4087-994a-703938d00750,104,wellroost.com,"Market timing, location arbitrage, and hidden cost audits."
7d0063a1-148a-4087-994a-703938d00750,Real Assets & Living,real-assets-living,1,null,99,wellroost.com,Strategic deployment of capital and resources into physical environments.
9eaf3fd5-6599-4c0d-ae45-a61533a52fca,Alternative Shelter,alternative-shelter,2,7d0063a1-148a-4087-994a-703938d00750,105,wellroost.com,"Short-term rentals, co-living, and nomadic living models. Evaluating non-traditional housing and land models for portability, cost-efficiency, or lifestyle flexibility."
c2407514-2e1b-4a23-9aed-b2784b1ff83a,"Value Engineering: ",value-engineering,2,7d0063a1-148a-4087-994a-703938d00750,120,wellroost.com,"Renovation ROI, densification (ADUs), and equity-building upgrades. Analyzing where to cut costs and where to over-invest to maximize the ROI of a physical property."
fe496d03-34ba-437d-993d-6c2a9e7af89e,Personal Systems & AI,personal-systems-ai,1,null,100,wellroost.com,Optimizing the individual’s operational capacity through technology.
ce15ce0e-8c85-4c25-957d-b86967fe240a,Tech Stack,tech-stack,2,fe496d03-34ba-437d-993d-6c2a9e7af89e,116,wellroost.com,"Reviews of tools that actually move the needle on productivity. Selecting the leanest, most effective software and hardware configuration to support your specific goals."
b1123348-dc67-4ff1-9f1b-68042eb54a36,Time Arbitrage,time-arbitrage,2,fe496d03-34ba-437d-993d-6c2a9e7af89e,118,wellroost.com,"Strategies for ""buying back"" time via outsourcing or automation. Deciding where to buy back time and how to reallocate it toward higher-leverage activities."
b4015879-6756-4d2b-85c2-5728441d7f00,Workflow Design,workflow-design,2,fe496d03-34ba-437d-993d-6c2a9e7af89e,121,wellroost.com,Automating the mundane to free up cognitive bandwidth. Choosing the sequence of operations that minimizes friction and maximizes daily output.
149cd96a-e8f3-4312-bfb2-a5e3296bad67,Market Intelligence,market-intelligence,1,null,101,wellroost.com,Navigating external economic forces to find competitive advantages.
e7d75fbe-a48a-4863-9de4-e05c7343271d,Macro Shifts,macro-shifts,2,149cd96a-e8f3-4312-bfb2-a5e3296bad67,110,wellroost.com,"How interest rates, demographics, and tech impact the individual. Evaluating how large-scale economic trends should alter your long-term financial positioning."
b62fa4ed-f6ce-4cf8-9a80-c3e6ff19d325,Opportunity Spotting,opportunity-spotting,2,149cd96a-e8f3-4312-bfb2-a5e3296bad67,112,wellroost.com,Identifying undervalued markets or emerging lifestyle trends. Distinguishing between fleeting hype and undervalued entry points in emerging markets.
eaa88342-c05d-4c2c-9050-50089402a35f,The Command Center (Interactive),the-command-center-interactive,1,null,102,wellroost.com,Practical tools for stress-testing decisions in real-time.
b45c79e0-b46f-42d6-bcdd-b69dd0aac080,Strategic Playbooks,strategic-playbooks,2,eaa88342-c05d-4c2c-9050-50089402a35f,114,wellroost.com,"Step-by-step ""Decision Trees"" for major life milestones. Selecting a pre-vetted sequence of actions for specific high-stakes life transitions."
77a13fd4-5293-4bf0-a1e3-70c6dbf3b44c,Capital Allocation,capital-allocation,2,4f98bc2f-8c9d-417d-9154-072858fdd86c,107,wellroost.com,"ROI-driven logic for where to put the next $1,000 or $100,000. Deciding the optimal distribution of liquid and illiquid wealth across your entire portfolio."
f9826114-cf17-43b2-bd98-3aba7be5fdef,Mental Models,mental-models,2,4f98bc2f-8c9d-417d-9154-072858fdd86c,111,wellroost.com,"The ""how-to"" of thinking (Inversion, Second-order effects). Selecting the right cognitive framework to strip away bias and see a problem for what it actually is."
460c4d60-9b1b-4797-a1be-3b7f25e851bd,Trade-off Analysis,trade-off-analysis,2,4f98bc2f-8c9d-417d-9154-072858fdd86c,119,wellroost.com,Evaluating Lifestyle vs. Financial gains. Calculating exactly what you are giving up for every choice you make to ensure the price is worth paying.
e14e8c1f-a20c-4b08-88eb-cd7d4e14d7ee,System Optimization,system-optimization,2,7d0063a1-148a-4087-994a-703938d00750,115,wellroost.com,"Smart infrastructure, energy independence, and preventive maintenance. Deciding which mechanical or structural upgrades maximize utility while minimizing long-term maintenance costs."
065562c1-a823-4ca2-bfbf-6980cf81b4d2,Risk & Resilience,risk-resilience,2,4f98bc2f-8c9d-417d-9154-072858fdd86c,113,wellroost.com,"Identifying ""single points of failure"" in life and money. Determining your ""ruin point"" and building buffers to survive high-impact, low-probability events."
e6acd0e5-01d5-4d67-837d-8631b04e735f,Calculators & Models,calculators-models,2,eaa88342-c05d-4c2c-9050-50089402a35f,106,wellroost.com,"Dynamic tools for Buy vs. Rent, Renovation ROI, and Net Worth forecasting. Quantifying the ""what-if"" scenarios to move from gut feelings to hard data."
